Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	3.42E00	1.79E-01	2.236	H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
Class I MHC mediated antigen processing and presentation	3.39E00	5.33E-02	2.683	FBXO6,FBXO7,FCGR1A,FGA,FGB,HLA-A,KBTBD8,MRC2,NCF1,NCF4,PSMB9,PSME2,RNF182,S100A8,S100A9,SOCS1,SOCS3,TAP1,TRIM69,UBE2L6	
SIRT1 negatively regulates rRNA expression	3.35E00	1.72E-01	2.236	H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
ATM Signaling	3.34E00	9E-02	-0.707	CCNB2,CDC25A,CDK1,CHEK1,CREB5,GADD45G,H2AX,RAD51,ZEB1	
Mitotic Prophase	3.25E00	8.74E-02	3.000	CCNB2,CDK1,H2AC14,H2AX,H2BC13,H2BC14,H2BC17,LMNB1,PLK1	
Ribonucleotide Reductase Signaling Pathway	3.23E00	6.98E-02	1.732	BIRC5,CCND1,CDC25A,CDK1,CHEK1,CREB5,E2F1,E2F8,FOXM1,H3C3,RRM2,SMARCD3	
Serine biosynthesis	3.22E00	3.75E-01	NaN	PSAT1,SERINC1,SERINC5	
Meiotic recombination	3.14E00	1.25E-01	2.449	H2AC14,H2AX,H2BC13,H2BC14,H2BC17,RAD51	
Pathogen Induced Cytokine Storm Signaling Pathway	3.04E00	5.12E-02	2.524	AIM2,CLCF1,COL17A1,CRP,CXCL10,CXCL8,CXCL9,FGA,FGB,IL18,IL23A,IRF1,NLRC4,SLC2A1,SLC2A5,SOCS3,STAT1,TNFSF10,TNFSF13B	
G alpha (i) signalling events	3.04E00	5.79E-02	1.291	APLNR,C3AR1,CNR2,CXCL10,CXCL8,CXCL9,FPR1,GNG8,GPR183,P2RY13,P2RY14,POMC,PTGDR2,S1PR2,SAA1	
Atherosclerosis Signaling	3.03E00	7.52E-02	NaN	ALB,APOA4,CXCL8,IL18,LPL,LYZ,MSR1,ORM1,PLB1,S100A8	
Inflammasome pathway	3.02E00	2E-01	2.000	AIM2,CASP5,IL18,NLRC4	
Mitotic Metaphase and Anaphase	2.99E00	5.96E-02	3.742	BIRC5,BUB1B,CCNB2,CDK1,CENPA,KIF2C,LMNB1,NUF2,PLK1,PSMB9,PSME2,PTTG1,SKA1,SPC24	
Class A/1 (Rhodopsin-like receptors)	2.98E00	5.35E-02	0.728	APLNR,C3AR1,CNR2,CXCL10,CXCL8,CXCL9,EDN1,FFAR2,FPR1,GPR183,GPR68,P2RY13,P2RY14,P2RY6,POMC,PTGDR2,SAA1	
PRC2 methylates histones and DNA	2.96E00	1.43E-01	2.236	H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
Role of PKR in Interferon Induction and Antiviral Response	2.95E00	7.35E-02	1.134	CASP5,E2F1,FCGR1A,HSPA1A/HSPA1B,HSPA6,IL18,IRF1,MARCO,MSR1,STAT1	
IL-12 Signaling and Production in Macrophages	2.95E00	5.91E-02	-0.535	ALB,APOA4,FCGR1A,FCGR2A,FCGR3A/FCGR3B,H3C3,IL18,IL23A,IRF1,LYZ,ORM1,S100A8,SOCS3,STAT1	
Senescence-Associated Secretory Phenotype (SASP)	2.87E00	9.59E-02	1.890	CCNA2,CXCL8,H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
RHO GTPases Activate NADPH Oxidases	2.86E00	1.82E-01	2.000	NCF1,NCF4,S100A8,S100A9	
Macrophage Alternative Activation Signaling Pathway	2.85E00	6.32E-02	0.000	ARG1,CREB5,FCER1A,FCER1G,FPR1,H3C3,IL18,LPL,MARCO,SOCS1,SOCS3,STAT1	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	2.85E00	1.35E-01	2.236	H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
Complement System	2.85E00	1.35E-01	1.000	C1QA,C1QB,C1QC,C3AR1,SERPING1	
Meiotic synapsis	2.82E00	1.09E-01	2.449	H2AC14,H2AX,H2BC13,H2BC14,H2BC17,LMNB1	
NoRC negatively regulates rRNA expression	2.8E00	1.32E-01	2.236	H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
Formation of Fibrin Clot (Clotting Cascade)	2.74E00	1.28E-01	2.236	FGA,FGB,PF4V1,PRTN3,SERPING1	
RUNX1 regulates megakaryocyte differentiation and platelet function	2.7E00	1.03E-01	NaN	H2AC14,H2AX,H2BC13,H2BC14,H2BC17,MYL9	
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.7E00	1.03E-01	-1.342	CDC25A,CDK1,CHEK1,E2F1,E2F8,PLK1	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	2.67E00	7.26E-02	1.000	ALB,CST3,CTSG,FAM20A,FGA,IGF2,IGFBP5,QSOX1,SPP1	
Role of BRCA1 in DNA Damage Response	2.64E00	8.75E-02	0.447	CHEK1,E2F1,E2F8,PLK1,RAD51,SMARCD3,STAT1	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	2.63E00	5.94E-02	0.577	CD1C,CD34,COL17A1,FCGR1A,FCGR3A/FCGR3B,HCST,HLA-A,KLRB1,LILRA4,LILRA5,LILRB4,TRAC	
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	2.6E00	1.19E-01	2.236	FGA,FGB,S100A8,S100A9,SOCS1	
Transcriptional regulation by RUNX1	2.59E00	6.58E-02	3.162	H2AC14,H2AX,H2BC13,H2BC14,H2BC17,MYB,PSMB9,PSME2,SMARCD3,SOCS3	
Deubiquitination	2.53E00	5.32E-02	2.138	CCNA2,CDC25A,CDK1,H2AC12,H2AC14,H2BC13,H2BC14,H2BC17,H2BC18,PSMB9,PSME2,RUVBL1,UCHL1,YOD1	
Osteoarthritis Pathway	2.52E00	5.51E-02	0.707	ALPL,CASP5,CREB5,CXCL8,GREM1,H19,LEF1,S100A8,S100A9,S1PR2,SLC39A8,SPP1,TCF7	
Pyroptosis	2.52E00	1.48E-01	2.000	CASP5,ELANE,IL18,IRF1	
Retinoid metabolism and transport	2.51E00	1.14E-01	-0.447	APOA4,LPL,PLB1,SDC3,TTR	
Cyclins and Cell Cycle Regulation	2.49E00	8.24E-02	1.890	CCNA2,CCNB2,CCND1,CDC25A,CDK1,E2F1,E2F8	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.47E00	6.33E-02	2.000	C1QA,C1QB,C1QC,C3AR1,CLCF1,CXCL8,IL18,NLRC4,TNFSF10,TNFSF13B	
Aryl Hydrocarbon Receptor Signaling	2.45E00	6.29E-02	1.633	ALDH1A1,CCNA2,CCND1,CHEK1,CTSD,CYP2C8,DHFR,E2F1,GSTM5,HSPB1	
Role of IL-17A in Psoriasis	2.45E00	2.14E-01	NaN	CXCL8,S100A8,S100A9	
DNA damage-induced 14-3-3σ Signaling	2.42E00	1.09E-01	0.447	CASP5,CCNB2,CDK1,CHEK1,E2F1	
Regulation of mitotic cell cycle	2.41E00	7.95E-02	2.646	BUB1B,CCNA2,CDK1,PLK1,PSMB9,PSME2,PTTG1	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	2.37E00	5.28E-02	1.941	ALPL,CLCF1,CTSD,CTSG,CTSW,CXCL8,IL18,LEF1,MMP8,STAT1,TCF7,TNFSF10,TNFSF13B	
CGAS-STING Signaling Pathway	2.32E00	6.43E-02	1.667	CD274,CLCF1,CXCL8,IL18,IRF1,MAP1LC3A,STAT1,TNFSF10,TNFSF13B	
dTMP De Novo Biosynthesis	2.31E00	4E-01	NaN	DHFR,TYMS	
Phagosome Formation	2.28E00	3.87E-02	2.502	APLNR,ARPC1B,C3AR1,CLEC4D,CLEC4E,CNR2,FCER1A,FCER1G,FCGR1A,FCGR2A,FCGR3A/FCGR3B,FFAR2,FPR1,GPR183,GPR68,LIMK2,MARCO,MRC2,MSR1,MYL9,P2RY13,P2RY14,P2RY6,PLB1,PTGDR2,S1PR2,WASF1	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	2.27E00	1E-01	-1.000	CCNB2,CDK1,CHEK1,CKS2,PLK1	
ESR-mediated signaling	2.26E00	6.78E-02	2.121	CCND1,CTSD,H2AC14,H2AX,H2BC13,H2BC14,H2BC17,MYB	
TCF dependent signaling in response to WNT	2.22E00	5.53E-02	1.508	H2AC14,H2AX,H2BC13,H2BC14,H2BC17,KREMEN1,LEF1,PSMB9,PSME2,RUVBL1,TCF7	
Mitotic G2-G2/M phases	2.22E00	5.53E-02	3.317	CCNA2,CCNB2,CDC25A,CDK1,E2F1,FOXM1,GTSE1,PLK1,PSMB9,PSME2,TPX2	
Natural Killer Cell Signaling	2.21E00	5.5E-02	2.530	FCER1G,FCGR2A,FCGR3A/FCGR3B,HCST,HLA-A,HSPA1A/HSPA1B,HSPA6,IL18,KLRB1,LIMK2,TNFSF10	
Transcriptional regulation by RUNX3	2.2E00	7.29E-02	-0.378	CCND1,LEF1,PSMB9,PSME2,SPP1,TCF7,ZFHX3	
Telomere Maintenance	2.2E00	8.22E-02	2.449	CCNA2,H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
Airway Inflammation in Asthma	2.19E00	1.21E-01	NaN	CXCL8,ELANE,IL23A,RNASE2	
B-WICH complex positively regulates rRNA expression	2.19E00	9.62E-02	2.236	H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
Th1 and Th2 Activation Pathway	2.18E00	5.75E-02	NaN	CD274,GFI1,HLA-A,IL18,IRF1,PSENEN,PTGDR2,SOCS1,SOCS3,STAT1	
Salvage Pathways of Pyrimidine Ribonucleotides	2.18E00	7.22E-02	2.646	APOBEC3A,APOBEC3B,CDA,CDK1,LIMK2,NME4,PLK1	
DNA Methylation and Transcriptional Repression Signaling	2.15E00	7.14E-02	2.236	CDK1,E2F1,E2F8,GADD45G,TCF7,UHRF1,ZEB1	
Transcriptional Regulation by E2F6	2.15E00	1.18E-01	1.000	CHEK1,E2F1,RAD51,RRM2	
Th1 Pathway	2.13E00	6.45E-02	1.414	CD274,HLA-A,IL18,IRF1,PSENEN,SOCS1,SOCS3,STAT1	
Tumor Microenvironment Pathway	2.07E00	5.52E-02	0.000	ARG1,CCND1,CD274,CXCL8,HLA-A,IGF2,MMP8,PDCD1LG2,SLC2A1,SPP1	
RHO GTPases activate CIT	2.07E00	1.58E-01	NaN	CIT,DLG4,MYL9	
IL-10 Signaling	2.06E00	5.84E-02	1.000	CCND1,CREB5,FCGR2A,FFAR2,HLA-A,IL18,PKM,SOCS3,STAT1	
HIF1α Signaling	2.04E00	5.21E-02	-0.302	CAMK4,EDN1,GPI,HSPA1A/HSPA1B,HSPA6,IGF2,MMP8,NCF1,PKM,SLC2A1,SLC2A5	
DNA Replication Pre-Initiation	2.02E00	6.73E-02	2.646	H2AC14,H2AX,H2BC13,H2BC14,H2BC17,PSMB9,PSME2	
Detoxification of Reactive Oxygen Species	2.02E00	1.08E-01	2.000	ATOX1,GPX1,NCF1,NCF4	
IL-7 Signaling Pathway	2.01E00	7.5E-02	-1.342	CCND1,CDC25A,IL7R,SLC2A1,SOCS1,STAT1	
TR/RXR Activation	2.01E00	6.15E-02	-0.707	CAMK4,CCNA2,CCND1,FGA,FOXM1,H3C3,SLC2A1,THRB	
Cell Cycle Regulation by BTG Family Proteins	1.98E00	1.05E-01	NaN	CCND1,E2F1,E2F8,NOCT	
Extracellular matrix organization	1.97E00	6.6E-02	1.134	ADAM19,CEACAM1,CEACAM6,CEACAM8,NID1,SPARC,TTR	
Post-translational protein phosphorylation	1.95E00	6.54E-02	1.134	ALB,CST3,FAM20A,FGA,IGFBP5,QSOX1,SPP1	
Autism Signaling Pathway	1.93E00	4.52E-02	0.000	ALDH1A1,ATP7B,CACNG2,CLCF1,CXCL8,GRIN3A,HLA-A,IGF2,IL18,LEF1,PRKAR1B,TCF7,TNFSF10,TNFSF13B	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.88E00	5.18E-02	1.667	ALB,APOA4,IRF1,LYZ,MPO,NCF1,NCF4,ORM1,S100A8,STAT1	
TRAIL signaling	1.88E00	2.5E-01	NaN	TNFRSF10A,TNFSF10	
Role of JAK2 in Hormone-like Cytokine Signaling	1.88E00	8.06E-02	-0.447	CCND1,POMC,SOCS1,SOCS3,STAT1	
Oxidative Stress Induced Senescence	1.87E00	6.98E-02	2.449	E2F1,H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.87E00	6.98E-02	1.633	CXCL10,CXCL8,IFIT2,IFIT3,IL18,STAT1	
White Adipose Tissue Browning Pathway	1.86E00	5.8E-02	0.000	CACNG2,CAMP,CREB5,FCER1A,FCER1G,FGFRL1,PRKAR1B,THRB	
RHO GTPases Activate Formins	1.85E00	5.76E-02	2.828	BIRC5,BUB1B,CENPA,KIF2C,NUF2,PLK1,SKA1,SPC24	
Metabolism of porphyrins	1.83E00	1.3E-01	NaN	ALAS1,ALB,FECH	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	1.83E00	1.3E-01	NaN	NME4,RRM2,TYMS	
Gαi Signaling	1.83E00	5.71E-02	-0.378	APLNR,CNR2,FPR1,GNA15,P2RY13,P2RY14,PRKAR1B,RAP1GAP	
PXR/RXR Activation	1.8E00	7.69E-02	2.236	ABCB11,ALAS1,ALDH1A1,CYP2C8,PRKAR1B	
Signaling by SCF-KIT	1.79E00	9.3E-02	2.000	CHEK1,PTPRU,SOCS1,STAT1	
Interleukin-6 family signaling	1.78E00	1.25E-01	NaN	CLCF1,SOCS3,STAT1	
Growth hormone receptor signaling	1.78E00	1.25E-01	NaN	SOCS1,SOCS3,STAT1	
Interleukin-1 processing	1.78E00	2.22E-01	NaN	CTSG,IL18	
Pathogenesis of Multiple Sclerosis	1.78E00	2.22E-01	NaN	CXCL10,CXCL9	
Heme Biosynthesis II	1.78E00	2.22E-01	NaN	ALAS1,FECH	
Degradation of the extracellular matrix	1.77E00	7.58E-02	2.236	CTSG,ELANE,MMP8,NID1,SPP1	
Hereditary Breast Cancer Signaling	1.76E00	5.56E-02	NaN	CCND1,CDK1,CHEK1,E2F1,GADD45G,H2AX,RAD51,SMARCD3	
TP53 Regulates Transcription of Cell Death Genes	1.76E00	9.09E-02	0.000	BIRC5,BNIP3L,NLRC4,TNFRSF10A	
ID1 Signaling Pathway	1.74E00	4.93E-02	-1.265	BHLHA15,BIRC5,CCND1,E2F1,FGFRL1,IGF2,RAP1GAP,S100A9,STMN3,TYMS	
Mitotic Prometaphase	1.74E00	4.93E-02	3.162	BIRC5,BUB1B,CCNB2,CDK1,CENPA,KIF2C,NUF2,PLK1,SKA1,SPC24	
Mitotic Roles of Polo-Like Kinase	1.74E00	7.46E-02	1.342	CCNB2,CDC25A,CDK1,PLK1,PTTG1	
CDX Gastrointestinal Cancer Signaling Pathway	1.73E00	4.9E-02	1.265	CCND1,CLCF1,CXCL8,IL18,KLF5,LEF1,NCF1,TCF7,TNFSF10,TNFSF13B	
Interleukin-10 signaling	1.73E00	8.89E-02	1.000	CXCL10,CXCL8,FPR1,IL18	
cAMP-mediated signaling	1.71E00	4.66E-02	-0.905	APLNR,CAMK4,CNR2,CREB5,FPR1,P2RY13,P2RY14,PDE7B,PDE9A,PRKAR1B,RAP1GAP	
EPH-Ephrin signaling	1.69E00	6.38E-02	2.449	ARPC1B,CLTCL1,EPHA1,LIMK2,MYL9,PSENEN	
mRNA Editing	1.69E00	2E-01	NaN	APOBEC3A,APOBEC3B	
Endocannabinoid Cancer Inhibition Pathway	1.68E00	5.37E-02	0.378	CASP5,CCND1,CNR2,CREB5,LEF1,PRKAR1B,SMPD1,TCF7	
Gene Silencing by RNA	1.67E00	6.32E-02	2.449	H2AC14,H2AX,H2BC13,H2BC14,H2BC17,PIWIL4	
Prolactin Signaling	1.65E00	6.25E-02	-0.447	IRF1,KCNMA1,SOCS1,SOCS3,STAT1,TCF7	
Melatonin Degradation III	1.64E00	1E00	NaN	MPO	
Glycolysis I	1.64E00	1.11E-01	NaN	ALDOA,GPI,PKM	
Nonhomologous End-Joining (NHEJ)	1.6E00	8.16E-02	2.000	H2AX,H2BC13,H2BC14,H2BC17	
TP53 Regulates Transcription of Cell Cycle Genes	1.6E00	8.16E-02	2.000	CCNA2,CDK1,E2F1,E2F8	
p53 Signaling	1.58E00	6E-02	-2.000	BIRC5,CCND1,CHEK1,E2F1,GADD45G,TNFRSF10A	
S Phase	1.58E00	6E-02	1.633	CCNA2,CCND1,CDC25A,E2F1,PSMB9,PSME2	
Signaling by NOTCH3	1.58E00	8E-02	0.000	HEY2,NEURL1,PSENEN,STAT1	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.57E00	4.84E-02	0.447	CACNG2,CAMK4,CREB5,GRIN3A,KCNJ10,KCNJ15,KCNJ2,PLCL1,PRKAR1B	
TNFs bind their physiological receptors	1.56E00	1.03E-01	NaN	CD27,TNFRSF13B,TNFSF13B	
IL-33 Signaling Pathway	1.56E00	4.81E-02	1.134	CASP5,CREB5,CTSG,CXCL8,ELANE,H2AX,H2BC17,IL18,PRKAR1B	
FXR/RXR Activation	1.56E00	4.81E-02	0.333	ABCB11,CLCF1,CXCL8,GSTM5,IL18,LPL,SOCS3,TNFSF10,TNFSF13B	
NOD1/2 Signaling Pathway	1.54E00	4.76E-02	1.667	CLCF1,CXCL8,DEFA1 (includes others),DEFA4,HSPA1A/HSPA1B,HSPA6,IL18,TNFSF10,TNFSF13B	
Granulocyte Adhesion and Diapedesis	1.54E00	4.76E-02	NaN	CDH5,CLDN11,CXCL10,CXCL8,CXCL9,FPR1,IL18,MMP8,SDC3	
Signaling by CSF3 (G-CSF)	1.52E00	1E-01	NaN	SOCS1,SOCS3,STAT1	
IL-6 Signaling	1.52E00	5.34E-02	0.378	CRP,CXCL8,HSPB1,IL18,SOCS1,SOCS3,TNFAIP6	
TREM1 Signaling	1.51E00	6.49E-02	1.342	CASP5,CXCL8,IL18,MPO,NLRC4	
Toll-like Receptor Cascades	1.49E00	9.68E-02	NaN	BPI,SFTPA1,SFTPA2	
Sonic Hedgehog Signaling	1.49E00	9.68E-02	NaN	CCNB2,CDK1,PRKAR1B	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.47E00	4.64E-02	NaN	BAMBI,COL17A1,CXCL8,CXCL9,EDN1,IGF2,IGFBP5,MYL9,STAT1	
Maturity Onset Diabetes of Young (MODY) Signaling	1.47E00	6.33E-02	NaN	APOA4,APOL2,APOL4,APOL6,CACNG2	
Metabolism of folate and pterines	1.47E00	1.54E-01	NaN	DHFR,MTHFD2L	
Advanced glycosylation endproduct receptor signaling	1.47E00	1.54E-01	NaN	S100A12,SAA1	
Phagosome Maturation	1.47E00	4.88E-02	NaN	CTSD,CTSG,CTSW,DYNLT1,HLA-A,MPO,NCF1,TAP1	
Complement cascade	1.46E00	5.19E-02	2.646	C1QA,C1QB,C1QC,C3AR1,CRP,ELANE,SERPING1	
HOTAIR Regulatory Pathway	1.45E00	4.85E-02	0.378	FOXM1,H3C3,IRF1,JAM2,LEF1,MMP8,SPP1,TCF7	
Acetylcholine Receptor Signaling Pathway	1.45E00	4.59E-02	-1.000	ADAM19,CACNG2,CASP5,CREB5,GNA15,KCNJ2,PLCL1,PRKAR1B,PSENEN	
E3 ubiquitin ligases ubiquitinate target proteins	1.44E00	7.27E-02	2.000	H2BC13,H2BC14,H2BC17,HLA-A	
Activation of anterior HOX genes in hindbrain during early embryogenesis	1.43E00	6.17E-02	2.236	H2AC14,H2AX,H2BC13,H2BC14,H2BC17	
Activation of Matrix Metalloproteinases	1.42E00	9.09E-02	NaN	CTSG,ELANE,MMP8	
LGI-ADAM interactions	1.41E00	1.43E-01	NaN	CACNG2,DLG4	
Aspirin ADME	1.41E00	1.43E-01	NaN	ALB,CYP2C8	
Formation of axial mesoderm	1.41E00	1.43E-01	NaN	LEF1,TCF7	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.37E00	3.89E-02	NaN	CCND1,CEBPE,CREB5,CXCL8,FCGR1A,FCGR3A/FCGR3B,IL18,LEF1,PLCL1,SOCS1,SOCS3,TCF7,TNFSF13B	
Senescence Pathway	1.36E00	3.99E-02	-0.302	CACNG2,CCNB2,CCND1,CDC25A,CDK1,CHEK1,CXCL8,E2F1,E2F8,GADD45G,SAA1,SAA2	
Transport of glycerol from adipocytes to the liver by Aquaporins	1.35E00	5E-01	NaN	AQP9	
Thyroid Hormone Biosynthesis	1.35E00	5E-01	NaN	CTSD	
DNA Double Strand Break Response	1.35E00	6.78E-02	2.000	H2AX,H2BC13,H2BC14,H2BC17	
